Name	SMILES
NuBBE_1003 	Permeable
NuBBE_1004 	Permeable
NuBBE_1005 	Permeable
NuBBE_1006 	Permeable
NuBBE_1007 	Non-Permeable
NuBBE_1008 	Non-Permeable
NuBBE_1009 	Non-Permeable
NuBBE_100 	Non-Permeable
NuBBE_1010 	Permeable
NuBBE_1011 	Non-Permeable
NuBBE_1012 	Permeable
NuBBE_1013 	Non-Permeable
NuBBE_1014 	Permeable
NuBBE_1015 	Non-Permeable
NuBBE_1016 	Permeable
NuBBE_1017 	Permeable
NuBBE_1018 	Permeable
NuBBE_1019 	Permeable
NuBBE_101 	Non-Permeable
NuBBE_1020 	Permeable
NuBBE_1021 	Permeable
NuBBE_1022 	Non-Permeable
NuBBE_1023 	Permeable
NuBBE_1024 	Permeable
NuBBE_1025 	Permeable
NuBBE_1026 	Permeable
NuBBE_1027 	Permeable
NuBBE_1028 	Permeable
NuBBE_1029 	Non-Permeable
NuBBE_102 	Non-Permeable
NuBBE_1030 	Non-Permeable
NuBBE_1031 	Permeable
NuBBE_1032 	Permeable
NuBBE_1033 	Permeable
NuBBE_1034 	Permeable
NuBBE_1035 	Permeable
NuBBE_1036 	Permeable
NuBBE_1037 	Non-Permeable
NuBBE_1038 	Permeable
NuBBE_1039 	Non-Permeable
NuBBE_103 	Non-Permeable
NuBBE_1040 	Permeable
NuBBE_1041 	Permeable
NuBBE_1042 	Permeable
NuBBE_1043 	Permeable
NuBBE_1044 	Permeable
NuBBE_1045 	Permeable
NuBBE_1046 	Permeable
NuBBE_1047 	Permeable
NuBBE_1048 	Permeable
NuBBE_1049 	Permeable
NuBBE_104 	Non-Permeable
NuBBE_1050 	Permeable
NuBBE_1051 	Permeable
NuBBE_1052 	Permeable
NuBBE_1053 	Permeable
NuBBE_1054 	Permeable
NuBBE_1055 	Permeable
NuBBE_1056 	Permeable
NuBBE_1057 	Permeable
NuBBE_1058 	Permeable
NuBBE_1059 	Permeable
NuBBE_105 	Permeable
NuBBE_1060 	Permeable
NuBBE_1061 	Permeable
NuBBE_1062 	Non-Permeable
NuBBE_1063 	Permeable
NuBBE_1064 	Permeable
NuBBE_1065 	Permeable
NuBBE_1066 	Permeable
NuBBE_1067 	Permeable
NuBBE_1068 	Non-Permeable
NuBBE_1069 	Non-Permeable
NuBBE_106 	Non-Permeable
NuBBE_1070 	Permeable
NuBBE_1071 	Permeable
NuBBE_1072 	Permeable
NuBBE_1073 	Permeable
