Name	Permeability
CHEMBL2369841	Non-Permeable
CHEMBL271039	Non-Permeable
CHEMBL68199	Non-Permeable
CHEMBL1643591	Non-Permeable
CHEMBL303700	Non-Permeable
CHEMBL282494	Permeable
CHEMBL378718	Permeable
CHEMBL2017869	Permeable
CHEMBL25310	Non-Permeable
CHEMBL285312	Non-Permeable
CHEMBL377315	Non-Permeable
CHEMBL25942	Non-Permeable
CHEMBL1094002	Permeable
CHEMBL1093599	Permeable
CHEMBL285012	Non-Permeable
CHEMBL31213	Permeable
CHEMBL200729	Non-Permeable
CHEMBL2113197	Non-Permeable
CHEMBL200792	Permeable
CHEMBL104530	Permeable
CHEMBL265070	Permeable
CHEMBL286895	Permeable
CHEMBL194922	Non-Permeable
CHEMBL3392901	Non-Permeable
CHEMBL306416	Non-Permeable
CHEMBL71540	Non-Permeable
CHEMBL196478	Non-Permeable
CHEMBL24781	Non-Permeable
CHEMBL303487	Non-Permeable
CHEMBL65950	Non-Permeable
CHEMBL68978	Non-Permeable
CHEMBL65949	Non-Permeable
CHEMBL603205	Permeable
CHEMBL371008	Non-Permeable
CHEMBL198329	Permeable
CHEMBL194584	Non-Permeable
CHEMBL514287	Permeable
CHEMBL459291	Non-Permeable
CHEMBL514586	Non-Permeable
CHEMBL515660	Non-Permeable
CHEMBL401960	Permeable
CHEMBL270624	Non-Permeable
CHEMBL271057	Non-Permeable
CHEMBL1092499	Permeable
CHEMBL281081	Permeable
CHEMBL1790722	Non-Permeable
CHEMBL4474284	Non-Permeable
CHEMBL3354579	Non-Permeable
CHEMBL24605	Non-Permeable
CHEMBL3763823	Non-Permeable
CHEMBL3763951	Non-Permeable
CHEMBL2113208	Permeable
CHEMBL208787	Non-Permeable
CHEMBL521789	Permeable
CHEMBL4210854	Permeable
CHEMBL514975	Permeable
CHEMBL480584	Permeable
CHEMBL341490	Permeable
CHEMBL467546	Permeable
CHEMBL467545	Permeable
CHEMBL511908	Permeable
CHEMBL457997	Non-Permeable
CHEMBL474219	Permeable
CHEMBL480546	Permeable
CHEMBL282767	Permeable
CHEMBL605373	Permeable
CHEMBL594591	Permeable
CHEMBL2113214	Non-Permeable
CHEMBL427190	Non-Permeable
CHEMBL2369835	Non-Permeable
CHEMBL412210	Non-Permeable
CHEMBL338522	Non-Permeable
CHEMBL304577	Non-Permeable
CHEMBL200682	Permeable
CHEMBL196816	Permeable
CHEMBL1254116	Non-Permeable
CHEMBL2113185	Non-Permeable
CHEMBL302128	Non-Permeable
CHEMBL105673	Permeable
CHEMBL378939	Non-Permeable
CHEMBL31802	Permeable
CHEMBL30550	Permeable
CHEMBL286084	Permeable
CHEMBL31606	Non-Permeable
CHEMBL447916	Permeable
CHEMBL474609	Permeable
CHEMBL31978	Non-Permeable
CHEMBL417133	Non-Permeable
CHEMBL2037516	Non-Permeable
