Name	Permeability
2-mercaptobenzothiazole 	Permeable
4-(Isopropylamino)diphenylamine 	Permeable
5-O-phosphono-alpha-D-ribofuranosyl diphosphate 	Permeable
Abacavir 	Permeable
Abametapir 	Permeable
Abarelix 	Non-Permeable
Abemaciclib 	Permeable
Abiraterone 	Permeable
Abrocitinib 	Non-Permeable
Acalabrutinib 	Non-Permeable
Acamprosate 	Non-Permeable
Acarbose 	Non-Permeable
Acebutolol 	Non-Permeable
Aceclidine 	Permeable
Aceclofenac 	Non-Permeable
Acemetacin 	Permeable
Acenocoumarol 	Permeable
Acetaminophen 	Permeable
Acetazolamide 	Permeable
Acetic acid 	Non-Permeable
Acetohexamide 	Permeable
Acetohydroxamic acid 	Permeable
Acetophenazine 	Permeable
Acetyl sulfisoxazole 	Permeable
Acetylcarnitine 	Permeable
Acetylcholine 	Non-Permeable
Acetylcysteine 	Permeable
Acetyldigitoxin 	Non-Permeable
Acetylene 	Permeable
Acetylsalicylic acid 	Non-Permeable
Acipimox 	Permeable
Acitretin 	Permeable
Aclidinium 	Non-Permeable
Acrivastine 	Permeable
Acyclovir 	Permeable
Adagrasib 	Non-Permeable
Adapalene 	Non-Permeable
Adefovir dipivoxil 	Non-Permeable
Ademetionine 	Permeable
Adenine 	Non-Permeable
Adenosine 	Permeable
Adenosine phosphate 	Permeable
Adiphenine 	Permeable
Afamelanotide 	Non-Permeable
Afatinib 	Non-Permeable
Agomelatine 	Permeable
Ajmaline 	Permeable
Alatrofloxacin 	Non-Permeable
Albendazole 	Permeable
Alcaftadine 	Permeable
Alclofenac 	Permeable
Alclometasone 	Permeable
Alcloxa 	Non-Permeable
Alectinib 	Non-Permeable
Alendronic acid 	Non-Permeable
Alfacalcidol 	Permeable
Alfentanil 	Permeable
Alfuzosin 	Permeable
Alimemazine 	Permeable
Aliskiren 	Non-Permeable
Alitretinoin 	Permeable
Allantoin 	Permeable
Alloin 	Non-Permeable
Allopurinol 	Permeable
Almitrine 	Permeable
Almotriptan 	Permeable
Alogliptin 	Permeable
Alosetron 	Permeable
Alpelisib 	Permeable
alpha-Amyl cinnamaldehyde 	Permeable
alpha-Arbutin 	Non-Permeable
alpha-Linolenic acid 	Permeable
alpha-Tocopherol succinate 	Non-Permeable
Alprazolam 	Permeable
Alprostadil 	Non-Permeable
Altretamine 	Permeable
Alvimopan 	Permeable
Amantadine 	Permeable
Ambenonium 	Non-Permeable
Ambrisentan 	Permeable
Ambroxol 	Permeable
Amcinonide 	Permeable
Amifampridine 	Non-Permeable
Amifostine 	Non-Permeable
Amikacin 	Non-Permeable
Amiloride 	Non-Permeable
Amiloxate 	Permeable
Aminobenzoic acid 	Permeable
Aminocaproic acid 	Non-Permeable
Aminoglutethimide 	Permeable
Aminohippuric acid 	Permeable
Aminolevulinic acid 	Permeable
Aminophenazone 	Permeable
Aminophylline 	Non-Permeable
Aminosalicylic acid 	Non-Permeable
Amiodarone 	Non-Permeable
Amisulpride 	Permeable
Amitriptyline 	Permeable
Amitriptylinoxide 	Permeable
Amlexanox 	Non-Permeable
Amlodipine 	Permeable
Ammonia N-13 	Permeable
Ammonium carbonate 	Non-Permeable
Ammonium lactate 	Permeable
Amobarbital 	Permeable
Amodiaquine 	Permeable
Amorolfine 	Permeable
Amoxapine 	Permeable
Amoxicillin 	Non-Permeable
Amphetamine 	Permeable
Amphotericin B 	Non-Permeable
Ampicillin 	Non-Permeable
Amprenavir 	Non-Permeable
Amrinone 	Permeable
Amsacrine 	Non-Permeable
Amyl Nitrite 	Permeable
Amylmetacresol 	Permeable
Amylocaine 	Permeable
Anagrelide 	Permeable
Anastrozole 	Permeable
Anethole 	Permeable
Anethole trithione 	Permeable
Anidulafungin 	Non-Permeable
Anileridine 	Permeable
Anisindione 	Permeable
Anisotropine methylbromide 	Permeable
Antazoline 	Permeable
Anthralin 	Permeable
Antipyrine 	Non-Permeable
Antrafenine 	Permeable
Apalutamide 	Non-Permeable
Apixaban 	Non-Permeable
Apomorphine 	Permeable
Apraclonidine 	Permeable
Apremilast 	Permeable
Aprepitant 	Non-Permeable
Apronalide 	Permeable
