"Name","Name_","Molecule.Max.Phase","Molecular.Weight","X.RO5.Violations","AlogP","Compound.Key","Smiles","Standard.Type","Standard.Relation","Standard.Value","Standard.Units","Affinity","Data.Validity.Comment","Comment","Uo.Units","Ligand.Efficiency.BEI","Ligand.Efficiency.LE","Ligand.Efficiency.LLE","Ligand.Efficiency.SEI","Potential.Duplicate","Assay.ChEMBL.ID","Assay.Description","Assay.Type","BAO.Format.ID","BAO.Label","Assay.Organism","Assay.Tissue.ChEMBL.ID","Assay.Tissue.Name","Assay.Cell.Type","Assay.Subcellular.Fraction","Assay.Parameters","Assay.Variant.Accession","Assay.Variant.Mutation","Target.ChEMBL.ID","Target.Name","Target.Organism","Target.Type","Document.ChEMBL.ID","Source.ID","Source.Description","Document.Journal","Document.Year","Cell.ChEMBL.ID","Properties","Action.Type","Permeable"
"CHEMBL2369841",NA,NA,1027.2,NA,NA,"15","NC[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CCSSC[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCN=C(N)N)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC1=O","Ki","'='",1033,"nM",5.99,NA,NA,"UO_0000065",5.83,NA,NA,NA,0,"CHEMBL762238","Binding affinity against human oxytocin receptor was determined by using plasma membranes from CHO cells stably transfected with VP/OT receptors","B","BAO_0000219","cell-based format",NA,NA,NA,"CHO",NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL1149164",1,"Scientific Literature","J Med Chem",2004,"CHEMBL3308072",NA,NA,FALSE
"CHEMBL271039",NA,NA,494.59,0,2.04,"20","Cc1nc([C@H](C(=O)N2CCOCC2)N2C(=O)[C@@H](C3Cc4ccccc4C3)NC(=O)[C@H]2CC(C)C)co1","Ki","'='",1.995,"nM",8.7,NA,NA,"UO_0000065",17.59,0.33,6.66,8.29,0,"CHEMBL946012","Binding affinity to human oxytocin receptor","B","BAO_0000357","single protein format","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL1142309",1,"Scientific Literature","Bioorg Med Chem Lett",2008,NA,NA,NA,FALSE
"CHEMBL68199",NA,NA,600.72,1,4.75,"39","COc1cc(OC2CCN(Cc3c[n+]([O-])c(C)cc3C)CC2)ccc1C(=O)N1CCC(N2C(=O)OCc3ccccc32)CC1","Ki","'='",5.1,"nM",8.29,NA,NA,"UO_0000065",13.8,0.26,3.54,8.42,0,"CHEMBL762236","Binding affinity for cloned human oxytocin receptor (OT-R)","B","BAO_0000357","single protein format",NA,NA,NA,NA,NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL1131248",1,"Scientific Literature","J Med Chem",1998,NA,NA,NA,FALSE
"CHEMBL1643591",NA,NA,577.77,2,6.25,"12","COc1ccc(CNCc2ccc(-c3nc(CN(C4CCCC4)S(=O)(=O)c4ccc(OC)cc4)cs3)cc2)cc1","Ki","'='",50118.72,"nM",4.3,NA,NA,"UO_0000065",NA,NA,NA,NA,0,"CHEMBL1648395","Antagonist activity at recombinant oxytocin receptor expressed in CHO cells assessed as inhibition of vasopressin-induced calcium release after 10 mins by Fluo4-AM staining","F","BAO_0000219","cell-based format",NA,NA,NA,"CHO",NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL1641366",1,"Scientific Literature","Bioorg Med Chem Lett",2011,"CHEMBL3308072",NA,NA,FALSE
"CHEMBL303700",NA,NA,658.65,2,5.29,"45","COc1cc(OC2CCN(Cc3ccc[n+]([O-])c3C(F)(F)F)CC2)c(F)cc1C(=O)N1CCC(N2C(=O)OCc3ccccc32)CC1","Ki","'='",0.82,"nM",9.09,NA,NA,"UO_0000065",13.8,0.26,3.8,9.23,0,"CHEMBL762236","Binding affinity for cloned human oxytocin receptor (OT-R)","B","BAO_0000357","single protein format",NA,NA,NA,NA,NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL1131248",1,"Scientific Literature","J Med Chem",1998,NA,NA,NA,FALSE
"CHEMBL282494",NA,NA,626.56,1,4.83,"5d","O=C(Cn1cc(C(F)(F)F)ccc1=O)NCc1cc2cc(C(=O)N3CCC(N4C(=O)OCc5ccc(F)cc54)CC3)ccc2o1","Ki","'='",6.31,"nM",8.2,NA,NA,"UO_0000065",13.09,0.25,3.37,7.19,0,"CHEMBL761408","Displacement of 3[H]oxytocin from human oxytocin receptor","B","BAO_0000357","single protein format",NA,NA,NA,NA,NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL1135117",1,"Scientific Literature","Bioorg Med Chem Lett",2002,NA,NA,NA,TRUE
"CHEMBL378718",NA,NA,495.57,0,3.39,"27","CC(C)C[C@@H]1C(=O)N[C@H](C2Cc3ccccc3C2)C(=O)N1[C@@H](C(=O)N1CCC1)c1ccc(F)cc1F","Ki","'='",0.631,"nM",9.2,NA,NA,"UO_0000065",18.56,0.35,5.81,13.2,0,"CHEMBL870934","Displacement of [3H]oxytocin from human OTR","B","BAO_0000357","single protein format","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL1138900",1,"Scientific Literature","J Med Chem",2006,NA,NA,NA,TRUE
"CHEMBL25310",NA,NA,524.62,1,3.43,"2e","CC(=O)CCCC(=O)NC1N=C(c2ccccc2)c2ccccc2N(CC(=O)NCCc2ccccc2)C1=O","Ki","'='",316.23,"nM",6.5,NA,NA,"UO_0000065",12.39,0.23,3.07,6.02,0,"CHEMBL857864","Inhibition of binding of [3H]oxytocin with human oxytocin receptor","B","BAO_0000357","single protein format",NA,NA,NA,NA,NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL1134064",1,"Scientific Literature","Bioorg Med Chem Lett",2001,NA,NA,NA,FALSE
"CHEMBL285312",NA,NA,574.68,1,4.58,"2k","CC(=O)CCCC(=O)NC1N=C(c2ccccc2)c2ccccc2N(CC(=O)NCCc2ccc3ccccc3c2)C1=O","Ki","'='",15.85,"nM",7.8,NA,NA,"UO_0000065",13.57,0.25,3.22,7.23,0,"CHEMBL857864","Inhibition of binding of [3H]oxytocin with human oxytocin receptor","B","BAO_0000357","single protein format",NA,NA,NA,NA,NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL1134064",1,"Scientific Literature","Bioorg Med Chem Lett",2001,NA,NA,NA,FALSE
"CHEMBL377315",NA,NA,511.57,1,2.37,"30","CC(C)C[C@@H]1C(=O)N[C@H](C2Cc3ccccc3C2)C(=O)N1[C@@H](C(=O)N1CC(O)C1)c1ccc(F)cc1F","Ki","'='",0.631,"nM",9.2,NA,NA,"UO_0000065",17.98,0.34,6.83,10.23,0,"CHEMBL870934","Displacement of [3H]oxytocin from human OTR","B","BAO_0000357","single protein format","Homo sapiens",NA,NA,NA,NA,NA,NA,NA,"CHEMBL2049","Oxytocin receptor","Homo sapiens","SINGLE PROTEIN","CHEMBL1138900",1,"Scientific Literature","J Med Chem",2006,NA,NA,NA,FALSE
