SMILES,name
OC(O)C(Cl)(Cl)Cl.OC(O)C(Cl)(Cl)Cl.CN1N(C(=O)C=C1C)C1=CC=CC=C1,Dichloralphenazone
N1N=CC=CC2=CC=CC=C12,"1,2-Benzodiazepine"
CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,"1,2-Distearoyllecithin"
[H]C(N)(COP(O)(=O)OCC([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)C(O)=O,"1,2-icosapentoyl-sn-glycero-3-phosphoserine"
CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCC\C=C/CCCCCCCC,1-Palmitoyl-2-oleoyl-sn-glycero-3-(phospho-rac-(1-glycerol))
S(SC1=NC2=CC=CC=C2S1)C1=NC2=CC=CC=C2S1,"2,2'-Dibenzothiazyl disulfide"
S=C1NC2=C(S1)C=CC=C2,2-mercaptobenzothiazole
CC(C)NC1=CC=C(NC2=CC=CC=C2)C=C1,4-(Isopropylamino)diphenylamine
O[C@H]1[C@@H](O)[C@@H](OP(O)(=O)OP(O)(O)=O)O[C@@H]1COP(O)(O)=O,5-O-phosphono-alpha-D-ribofuranosyl diphosphate
NC1=NC2=C(N=CN2[C@@H]2C[C@H](CO)C=C2)C(NC2CC2)=N1,Abacavir
CC1=CC=C(N=C1)C1=CC=C(C)C=N1,Abametapir
CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,Abarelix
CCN1CCN(CC2=CC=C(NC3=NC=C(F)C(=N3)C3=CC(F)=C4N=C(C)N(C(C)C)C4=C3)N=C2)CC1,Abemaciclib
[H][C@@]12CC=C(C3=CC=CN=C3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,Abiraterone
CCCS(=O)(=O)N[C@H]1C[C@H](C1)N(C)C1=C2C=CNC2=NC=N1,Abrocitinib
CC#CC(=O)N1CCC[C@H]1C1=NC(=C2N1C=CN=C2N)C1=CC=C(C=C1)C(=O)NC1=CC=CC=N1,Acalabrutinib
CC(=O)NCCCS(O)(=O)=O,Acamprosate
[H]C(=O)[C@H](O)[C@@H](O)[C@]([H])(O[C@@]1([H])O[C@H](CO)[C@@]([H])(O[C@H]2O[C@H](C)[C@@H](N[C@@]3([H])C=C(CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)CO,Acarbose
CCCC(=O)NC1=CC=C(OCC(O)CNC(C)C)C(=C1)C(C)=O,Acebutolol
CC(=O)OC1CN2CCC1CC2,Aceclidine
OC(=O)COC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,Aceclofenac
COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(=O)OCC(O)=O,Acemetacin
CC(=O)CC(C1=CC=C(C=C1)[N+]([O-])=O)C1=C(O)C2=CC=CC=C2OC1=O,Acenocoumarol
CC(=O)NC1=CC=C(O)C=C1,Acetaminophen
CC(=O)NC1=NN=C(S1)S(N)(=O)=O,Acetazolamide
CC(O)=O,Acetic acid
CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,Acetohexamide
CC(=O)NO,Acetohydroxamic acid
CC(=O)C1=CC=C2SC3=C(C=CC=C3)N(CCCN3CCN(CCO)CC3)C2=C1,Acetophenazine
CC(=O)N(C1=C(C)C(C)=NO1)S(=O)(=O)C1=CC=C(N)C=C1,Acetyl sulfisoxazole
CC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C,Acetylcarnitine
CC(=O)OCC[N+](C)(C)C,Acetylcholine
CC(=O)N[C@@H](CS)C(O)=O,Acetylcysteine
[H][C@@]1(CC[C@]2(O)[C@]3([H])CC[C@]4([H])C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](OC(C)=O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1)C1=CC(=O)OC1,Acetyldigitoxin
C#C,Acetylene
CC(=O)OC1=CC=CC=C1C(O)=O,Acetylsalicylic acid
CC1=[N+]([O-])C=C(N=C1)C(O)=O,Acipimox
COC1=C(C)C(C)=C(\C=C\C(\C)=C\C=C\C(\C)=C\C(O)=O)C(C)=C1,Acitretin
OC(C(=O)O[C@H]1C[N+]2(CCCOC3=CC=CC=C3)CCC1CC2)(C1=CC=CS1)C1=CC=CS1,Aclidinium
[H]\C(CN1CCCC1)=C(\C1=CC=C(C)C=C1)C1=CC=CC(=N1)C(\[H])=C(/[H])C(O)=O,Acrivastine
[C],Activated charcoal
NC1=NC(=O)C2=C(N1)N(COCCO)C=N2,Acyclovir
